"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"W28DKEKN","journalArticle","2012","Chiang, Roger H. L.; Goes, Paulo; Stohr, Edward A.","Business Intelligence and Analytics Education, and Program Development: A Unique Opportunity for the Information Systems Discipline","ACM Transactions on Management Information Systems","","2158-656X, 2158-6578","10.1145/2361256.2361257","https://dl.acm.org/doi/10.1145/2361256.2361257","“Big Data,” huge volumes of data in both structured and unstructured forms generated by the Internet, social media, and computerized transactions, is straining our technical capacity to manage it. More importantly, the new challenge is to develop the capability to understand and interpret the burgeoning volume of data to take advantage of the opportunities it provides in many human endeavors, ranging from science to business. Data Science, and in business schools, Business Intelligence and Analytics (BI&A) are emerging disciplines that seek to address the demands of this new era. Big Data and BI&A present unique challenges and opportunities not only for the research community, but also for Information Systems (IS) programs at business schools. In this essay, we provide a brief overview of BI&A, speculate on the role of BI&A education in business schools, present the challenges facing IS departments, and discuss the role of IS curricula and program development, in delivering BI&A education. We contend that a new vision for the IS discipline should address these challenges.","2012-10","2022-04-11 15:14:32","2022-04-25 00:18:42","2022-04-25 00:18:04","1-13","","3","3","","ACM Trans. Manage. Inf. Syst.","Business Intelligence and Analytics Education, and Program Development","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Work\Zotero\storage\I2HEGKXH\Chiang et al. - 2012 - Business Intelligence and Analytics Education, and.pdf","","text analytics, data warehousing, Big data, data mining, business intelligence &amp; analytics; excluded; not a primary study; reverse snowball; text analytics, data mining, Big data, data warehousing, business intelligence &amp; analytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRMZLRRA","conferencePaper","2013","Kumar, Sashi; Rawat, Shatrunjay","e-inventory for proactive e-waste management","Proceedings of the 7th International Conference on Theory and Practice of Electronic Governance","978-1-4503-2456-4","","","https://doi.org/10.1145/2591888.2591906","","2013","2022-04-11 15:14:32","2022-04-25 00:17:31","","112–115","","","","","","","","","","","Association for Computing Machinery","Seoul, Republic of Korea","","","","","","","","Type: 10.1145/2591888.2591906","","C:\Users\Work\Zotero\storage\UF4X9MFK\Kumar and Rawat - 2013 - e-inventory for proactive e-waste management.pdf","","e-waste, bulk consumer, e-inventory; excluded; not an application; reverse snowball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBGDWUVF","conferencePaper","2013","Ota, Hiroshi","End-node approach for pedestrian flow simulation","Proceedings of the Symposium on Simulation for Architecture &amp; Urban Design","978-1-62748-035-2","","","","","2013","2022-04-11 15:14:32","2022-04-25 00:17:09","","Article 17","","","","","","","","","","","Society for Computer Simulation International","San Diego, California","","","","","","","","","","C:\Users\Work\Zotero\storage\6QVJ43XI\Ota - 2013 - End-node approach for pedestrian flow simulation.pdf","","multi-agent simulation, street network, building node, queueing network; excluded; not an application; reverse snowball; street network, multi-agent simulation, building node, queueing network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FCB355LV","conferencePaper","2013","Shir, Ofer M.; Chen, Shahar; Amid, David; Boaz, David; Anaby-Tavor, Ateret; Moor, Dmitry","Pareto optimization and tradeoff analysis applied to meta-learning of multiple simulation criteria","2013 Winter Simulations Conference (WSC)","","","10.1109/WSC.2013.6721410","","Simulation performance may be evaluated according to multiple quality measures that are in competition and their simultaneous consideration poses a conflict. In the current study we propose a practical framework for investigating such simulation performance criteria, exploring the inherent conflicts amongst them and identifying the best available tradeoffs, based upon multiobjective Pareto optimization. This approach necessitates the rigorous derivation of performance criteria to serve as objective functions and undergo vector optimization. We demonstrate the effectiveness of our proposed approach by applying it to a specific Artificial Neural Networks (ANN) simulation, with multiple stochastic quality measures. We formulate performance criteria of this use-case, pose an optimization problem, and solve it by means of a simulation-based Pareto approach. Upon attainment of the underlying Pareto Frontier, we analyze it and prescribe preference-dependent configurations for the optimal simulation training.","2013-12","2022-04-11 16:20:03","2022-04-25 00:16:39","","89-100","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1558-4305","","C:\Users\Work\Zotero\storage\W27IHUBH\6721410.html; C:\Users\Work\Zotero\storage\KKLW32Z4\Shir et al. - 2013 - Pareto optimization and tradeoff analysis applied .pdf","","excluded; not an application; reverse snowball","Current measurement; Training; Analytical models; Artificial neural networks; Linear programming; Pareto optimization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013 Winter Simulations Conference (WSC)","","","","","","","","","","","","","","",""
"9KK4RVZM","conferencePaper","2014","Dawson, William; Gygi, Francois","Optimized scheduling strategies for hybrid density functional theory electronic structure calculations","Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis","978-1-4799-5500-8","","","https://doi.org/10.1109/SC.2014.61","","2014","2022-04-11 15:14:32","2022-04-25 00:13:24","","685–692","","","","","","","","","","","IEEE Press","New Orleans, Louisana","","","","","","","","Type: 10.1109/SC.2014.61","","C:\Users\Work\Zotero\storage\TISFZ6GT\Dawson and Gygi - 2014 - Optimized scheduling strategies for hybrid density.pdf","","excluded; not an application; reverse snowball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZIW53P5N","conferencePaper","2014","Harvey, Nicholas J. A.; Olver, Neil","Pipage Rounding, Pessimistic Estimators and Matrix Concentration","Proceedings of the Twenty-Fifth Annual ACM-SIAM Symposium on Discrete Algorithms","978-1-61197-338-9 978-1-61197-340-2","","10.1137/1.9781611973402.69","https://epubs.siam.org/doi/10.1137/1.9781611973402.69","","2014-01-05","2022-04-11 15:14:32","2022-04-25 00:11:31","2022-04-25 00:10:40","926-945","","","","","","","","","","","Society for Industrial and Applied Mathematics","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Work\Zotero\storage\Y4B7PDS9\Harvey and Olver - 2014 - Pipage Rounding, Pessimistic Estimators and Matrix.pdf","","excluded; not an application; reverse snowball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the Twenty-Fifth Annual ACM-SIAM Symposium on Discrete Algorithms","","","","","","","","","","","","","","",""
"967TF6RX","conferencePaper","2014","S. M. Sanchez","Simulation experiments: Better data, not just big data","Proceedings of the Winter Simulation Conference 2014","978-1-4673-9741-4","","10.1109/WSC.2014.7019942","","","2014-12-07","2022-04-11 15:14:32","2022-04-25 00:10:11","","805-816","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: Proceedings of the Winter Simulation Conference 2014","","C:\Users\Work\Zotero\storage\SZXCEWD3\S. M. Sanchez - 2014 - Simulation experiments Better data, not just big .pdf","","excluded; not an application; reverse snowball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the Winter Simulation Conference 2014","","","","","","","","","","","","","","",""
"EJ5YEY75","journalArticle","2015","Bahreini, Tayebeh; Mohammadzadeh, Naser","An MINLP Model for Scheduling and Placement of Quantum Circuits with a Heuristic Solution Approach","J. Emerg. Technol. Comput. Syst.","","","","https://doi.org/10.1145/2766452","","2015","2022-04-11 15:14:32","2022-04-25 00:04:50","","Article 29","","3","12","","","","","","","","","","","","","","","","","ISBN: 1550-4832 Publisher: Association for Computing Machinery Type: 10.1145/2766452","","C:\Users\Work\Zotero\storage\4PJESISW\Bahreini and Mohammadzadeh - 2015 - An MINLP Model for Scheduling and Placement of Qua.pdf","","quantum physical design, scheduling, Quantum circuits, placement; excluded; not an application; reverse snowball; scheduling, placement, quantum physical design, Quantum circuits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C92FGSGQ","conferencePaper","2015","Braun, Gábor; Pokutta, Sebastian","The matching polytope does not admit fully-polynomial size relaxation schemes","Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms","978-1-61197-374-7 978-1-61197-373-0","","10.1137/1.9781611973730.57","https://epubs.siam.org/doi/10.1137/1.9781611973730.57","","2015-10","2022-04-11 15:14:32","2022-04-24 23:43:19","2022-04-24 23:39:06","837-846","","","","","","","","","","","Society for Industrial and Applied Mathematics","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Work\Zotero\storage\YWYWZ9IR\Braun and Pokutta - 2015 - The matching polytope does not admit fully-polynom.pdf","","excluded; not an application; reverse snowball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms","","","","","","","","","","","","","","",""
"HSI5V64N","conferencePaper","2015","Hofmann, Marko A.","Limits of empirical validation: A review of arguments with respect to social simulation","2015 Winter Simulation Conference (WSC)","","","10.1109/WSC.2015.7408560","","Output comparison between simulation model and real world reference system is commonly regarded to be the acid test of model credibility. As sound as the comparison-based approach may seem, serious epistemological and methodological qualifications have been made concerning the foundations of the concept, its applicability, and its dependence from the chosen philosophical perspective. The article reviews and reassesses technical and philosophical arguments on the limits of empirical validation with respect to social simulation. The paper is intended to reposition empirical validation for social simulations that are theory-free and non-predictive. The proposed shift is inspired by the recent critical reassessment of significance tests in applied statistics. According to this shift, it is transparency which becomes paramount for the single social simulation project, whereas empirical validation on the macro level is crucial only after meta-analysis of rival simulation models has shown robust findings despite different sets of assumptions.","2015-12","2022-04-11 15:14:32","2022-04-24 23:38:43","","4069-4080","","","","","","Limits of empirical validation","","","","","","","","","","","","IEEE Xplore","","ISSN: 1558-4305","","C:\Users\Work\Zotero\storage\CVEEV7QG\7408560.html; C:\Users\Work\Zotero\storage\TV9VRTJ5\Hofmann - 2015 - Limits of empirical validation A review of argume.pdf","","excluded; not a primary study; not an application; reverse snowball","Calibration; Data models; Mathematical model; Adaptation models; Computational modeling; Predictive models; Numerical models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 Winter Simulation Conference (WSC)","","","","","","","","","","","","","","",""
"ZKDANY9R","journalArticle","2016","Allen-Zhu, Zeyuan; Lee, Yin Tat; Orecchia, Lorenzo","Using Optimization to Obtain a Width-Independent, Parallel, Simpler, and Faster Positive SDP Solver","arXiv:1507.02259 [cs, math]","","","","http://arxiv.org/abs/1507.02259","We study the design of polylogarithmic depth algorithms for approximately solving packing and covering semidefinite programs (or positive SDPs for short). This is a natural SDP generalization of the well-studied positive LP problem. Although positive LPs can be solved in polylogarithmic depth while using only $\tilde{O}(\log^{2} n/\varepsilon^2)$ parallelizable iterations, the best known positive SDP solvers due to Jain and Yao require $O(\log^{14} n /\varepsilon^{13})$ parallelizable iterations. Several alternative solvers have been proposed to reduce the exponents in the number of iterations. However, the correctness of the convergence analyses in these works has been called into question, as they both rely on algebraic monotonicity properties that do not generalize to matrix algebra. In this paper, we propose a very simple algorithm based on the optimization framework proposed for LP solvers. Our algorithm only needs $\tilde{O}(\log^2 n / \varepsilon^2)$ iterations, matching that of the best LP solver. To surmount the obstacles encountered by previous approaches, our analysis requires a new matrix inequality that extends Lieb-Thirring's inequality, and a sign-consistent, randomized variant of the gradient truncation technique proposed in.","2016-01-11","2022-04-11 15:14:32","2022-04-24 23:35:15","2022-04-24 23:34:46","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1507.02259","","C:\Users\Work\Zotero\storage\TUX6WUAE\Allen-Zhu et al. - 2016 - Using Optimization to Obtain a Width-Independent, .pdf; C:\Users\Work\Zotero\storage\YKRRE6QP\1507.html","","excluded; not an application; reverse snowball","Computer Science - Data Structures and Algorithms; Mathematics - Optimization and Control; Computer Science - Distributed, Parallel, and Cluster Computing; Mathematics - Numerical Analysis; Mathematics - Spectral Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y67TM5EU","conferencePaper","2016","Cheng, Russell; Macal, Charles; Nelson, Barry; Rabe, Markus; Currie, Christine; Fowler, John; Lee, Loo Hay","Simulation: the past 10 years and the next 10 years","Proceedings of the 2016 Winter Simulation Conference","978-1-5090-4484-9","","","","","2016","2022-04-11 15:14:32","2022-04-24 23:33:06","","2180–2192","","","","","","","","","","","IEEE Press","Arlington, Virginia","","","","","","","","","","C:\Users\Work\Zotero\storage\4M6IRB66\Cheng et al. - 2016 - Simulation The past 10 years and the next 10 year.pdf","","excluded; not a primary study; reverse snowball","Data models; Mathematical model; Computational modeling; Analytical models; Biological system modeling; Medical services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVIBGAVQ","conferencePaper","2016","Azzopardi, Leif","Simulation of Interaction: A Tutorial on Modelling and Simulating User Interaction and Search Behaviour","Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval","978-1-4503-4069-4","","","https://doi.org/10.1145/2911451.2914799","","2016","2022-04-11 15:14:32","2022-04-24 23:31:45","","1227–1230","","","","","","","","","","","Association for Computing Machinery","Pisa, Italy","","","","","","","","Type: 10.1145/2911451.2914799","","C:\Users\Work\Zotero\storage\WX8UBDDU\Azzopardi - 2016 - Simulation of Interaction A Tutorial on Modelling.pdf","","evaluation, information retrieval, performance, simulation; excluded; not a primary study; reverse snowball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I6Y55984","journalArticle","2016","Hassan, Nik Rushdi","Editorial: A Brief History of the Material in Sociomateriality","SIGMIS Database","","","","https://doi.org/10.1145/3025099.3025101","","2016","2022-04-11 15:14:32","2022-04-24 23:31:20","","10–22","","4","47","","","","","","","","","","","","","","","","","ISBN: 0095-0033 Publisher: Association for Computing Machinery Type: 10.1145/3025099.3025101","","C:\Users\Work\Zotero\storage\D8HR9KIF\Hassan - 2016 - Editorial A Brief History of the Material in Soci.pdf","","is theory, socio-technical studies, philosophy of information systems (is), social and material agency; excluded; not a primary study; reverse snowball; philosophy of information systems (is), socio-technical studies, is theory, social and material agency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6XXY4T8","conferencePaper","2016","Luo, Yuchuan; Xu, Ming; Fu, Shaojing; Wang, Dongsheng","Enabling Assured Deletion in the Cloud Storage by Overwriting","Proceedings of the 4th ACM International Workshop on Security in Cloud Computing","978-1-4503-4285-8","","","https://doi.org/10.1145/2898445.2898447","","2016","2022-04-11 15:14:32","2022-04-24 23:30:42","","17–23","","","","","","","","","","","Association for Computing Machinery","Xi'an, China","","","","","","","","Type: 10.1145/2898445.2898447","","C:\Users\Work\Zotero\storage\E6JVZU3U\Luo et al. - 2016 - Enabling Assured Deletion in the Cloud Storage by .pdf","","cloud storage, overwrite, assured deletion; excluded; not an application; reverse snowball; overwrite, assured deletion, cloud storage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3R3BZZK","conferencePaper","2016","Millar, Jeremy R.; Blake, Jason A.; Hodson, Douglas D.; Miller, J.O.; Hill, Raymond R.","Sources of unresolvable uncertainties in weakly predictive distributed virtual environments","2016 Winter Simulation Conference (WSC)","","","10.1109/WSC.2016.7822346","","This work expands the notion of unresolvable uncertainties due to modeling issues in weakly predictive simulations to include unique implementation induced sources that originate from fundamental trade-offs associated with distributed virtual environments. We consider these trade-offs in terms of the Consistency, Availability, and Partition tolerance (CAP) theorem to abstract away technical implementation details. Doing so illuminates systemic properties of weakly predictive simulations, including their ability to produce plausible responses. The plausibility property in particular is related to fairness concerns in distributed gaming and other interactive environments.","2016-12","2022-04-11 15:14:32","2022-04-24 23:30:22","","3134-3142","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1558-4305","","C:\Users\Work\Zotero\storage\SM6RMTNW\7822346.html; C:\Users\Work\Zotero\storage\XF4IWK8M\Millar et al. - 2016 - Sources of unresolvable uncertainties in weakly pr.pdf","","excluded; not an application; reverse snowball","Uncertainty; Mathematical model; Computational modeling; Predictive models; Analytical models; Atmospheric modeling; Virtual environments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Winter Simulation Conference (WSC)","","","","","","","","","","","","","","",""
"GCLHPDHI","journalArticle","2016","Naini, Kaweh Djafari; Altingovde, Ismail Sengor; Siberski, Wolf","Scalable and Efficient Web Search Result Diversification","ACM Transactions on the Web","","1559-1131, 1559-114X","10.1145/2907948","https://dl.acm.org/doi/10.1145/2907948","It has been shown that top-               k               retrieval quality can be considerably improved by taking not only relevance but also diversity into account. However, currently proposed diversification approaches have not put much attention on practical usability in large-scale settings, such as modern web search systems. In this work, we make two contributions toward this goal. First, we propose a combination of optimizations and heuristics for an implicit diversification algorithm based on the desirable facility placement principle, and present two algorithms that achieve linear complexity without compromising the retrieval effectiveness. Instead of an exhaustive comparison of documents, these algorithms first perform a clustering phase and then exploit its outcome to compose the diverse result set. Second, we describe and analyze two variants for distributed diversification in a computing cluster, for large-scale IR where the document collection is too large to keep in one node. Our contribution in this direction is pioneering, as there exists no earlier work in the literature that investigates the effectiveness and efficiency of diversification on a distributed setup. Extensive evaluations on a standard TREC framework demonstrate a competitive retrieval quality of the proposed optimizations to the baseline algorithm while reducing the processing time by more than 80% and up to 97%, and shed light on the efficiency and effectiveness tradeoffs of diversification when applied on top of a distributed architecture.","2016-08-29","2022-04-11 15:14:32","2022-04-24 23:22:07","2022-04-24 23:21:22","1-30","","3","10","","ACM Trans. Web","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Work\Zotero\storage\W3EV6DSC\Naini et al. - 2016 - Scalable and Efficient Web Search Result Diversifi.pdf","","Web search engines, distributed result diversification; excluded; not an application; reverse snowball; distributed result diversification, Web search engines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJ3QKFK6","conferencePaper","2016","Ramokapane, Kopo M.; Rashid, Awais; Such, Jose M.","Assured Deletion in the Cloud: Requirements, Challenges and Future Directions","Proceedings of the 2016 ACM on Cloud Computing Security Workshop","978-1-4503-4572-9","","","https://doi.org/10.1145/2996429.2996434","","2016","2022-04-11 16:20:03","2022-04-24 23:20:44","","97–108","","","","","","","","","","","Association for Computing Machinery","Vienna, Austria","","","","","","","","Type: 10.1145/2996429.2996434","","C:\Users\Work\Zotero\storage\NCQK56CI\Ramokapane et al. - 2016 - Assured Deletion in the Cloud Requirements, Chall.pdf","","excluded; not a primary study; reverse snowball; assured deletion, user assurances, cloud computing, public cloud computing, cloud computing security, secure deletion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LXIC2L4","conferencePaper","2016","Rong, Hongbo; Park, Jongsoo; Xiang, Lingxiang; Anderson, Todd A.; Smelyanskiy, Mikhail","Sparso: Context-driven Optimizations of Sparse Linear Algebra","Proceedings of the 2016 International Conference on Parallel Architectures and Compilation","978-1-4503-4121-9","","","https://doi.org/10.1145/2967938.2967943","","2016","2022-04-11 15:14:32","2022-04-24 23:12:36","","247–259","","","","","","","","","","","Association for Computing Machinery","Haifa, Israel","","","","","","","","Type: 10.1145/2967938.2967943","","C:\Users\Work\Zotero\storage\DYS8UGF7\Rong et al. - 2016 - Sparso Context-driven Optimizations of Sparse Lin.pdf","","sparse linear algebra, compiler, reordering, high-performance computing, inspector-executor, data-flow analysis; excluded; not an application; reverse snowball; data-flow analysis, high-performance computing, reordering, sparse linear algebra, inspector-executor, compiler","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A776RFBY","conferencePaper","2019","Klosowski, Eduardo Augusto; Fiorese, Adriano","FAEController: A Relative Efficiency Evaluation Framework of SDN Controllers","Proceedings of the XV Brazilian Symposium on Information Systems","978-1-4503-7237-4","","","https://doi.org/10.1145/3330204.3330285","","2019","2022-04-11 15:14:32","2022-04-24 23:11:21","","Article 75","","","","","","","","","","","Association for Computing Machinery","Aracaju, Brazil","","","","","","","","Type: 10.1145/3330204.3330285","","C:\Users\Work\Zotero\storage\CXSTJV62\Klosowski and Fiorese - 2019 - FAEController A Relative Efficiency Evaluation Fr.pdf","","SDN Controller, DEA, Relative Efficiency, Evaluation Framework; excluded; not an application; not english; reverse snowball; Relative Efficiency, Evaluation Framework, SDN Controller, DEA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PI3XKZ2L","conferencePaper","2016","Salomon, Shaul; Purshouse, Robin Charles; Giaghiozis, Ioannis; Fleming, Peter John","A Toolkit for Generating Scalable Stochastic Multiobjective Test Problems","Proceedings of the Genetic and Evolutionary Computation Conference 2016","978-1-4503-4206-3","","","https://doi.org/10.1145/2908812.2908873","","2016","2022-04-11 15:14:32","2022-04-24 23:11:10","","597–604","","","","","","","","","","","Association for Computing Machinery","Denver, Colorado, USA","","","","","","","","Type: 10.1145/2908812.2908873","","C:\Users\Work\Zotero\storage\IEYKF9Y2\Salomon et al. - 2016 - A Toolkit for Generating Scalable Stochastic Multi.pdf","","benchmark problems, robust optimization, multiobjective optimization; excluded; not an application; reverse snowball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PE24FU6V","conferencePaper","2017","Ahmed, Kishwar; Liu, Jason; Badawy, Abdel-Hameed; Eidenbenz, Stephan","A brief history of HPC simulation and future challenges","2017 Winter Simulation Conference (WSC)","","","10.1109/WSC.2017.8247804","","High-performance Computing (HPC) systems have gone through many changes during the past two decades in their architectural design to satisfy the increasingly large-scale scientific computing demand. Accurate, fast, and scalable performance models and simulation tools are essential for evaluating alternative architecture design decisions for the massive-scale computing systems. This paper recounts some of the influential work in modeling and simulation for HPC systems and applications, identifies some of the major challenges, and outlines future research directions which we believe are critical to the HPC modeling and simulation community.","2017-12","2022-04-11 15:14:32","2022-04-24 23:10:23","","419-430","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1558-4305","","C:\Users\Work\Zotero\storage\2YLJW57B\8247804.html; C:\Users\Work\Zotero\storage\RNIWTWKL\Ahmed et al. - 2017 - A brief history of HPC simulation and future chall.pdf","","excluded; not a primary study; reverse snowball","Tools; Computational modeling; Predictive models; Program processors; Multicore processing; Timing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 Winter Simulation Conference (WSC)","","","","","","","","","","","","","","",""
"E94QIU28","journalArticle","2017","Becker, Matthias; Magnenat-Thalmann, Nadia","Muscle Tissue Labeling of Human Lower Limb in Multi-Channel mDixon MR Imaging: Concepts and Applications","IEEE/ACM Transactions on Computational Biology and Bioinformatics","","1557-9964","10.1109/TCBB.2015.2459679","","With increasing resolutions and number of acquisitions, medical imaging more and more requires computer support for interpretation as currently not all imaging data is fully used. In our work, we show how multi-channel images can be used for robust air masking and reliable muscle tissue detection in the human lower limb. We exploit additional channels that are usually discarded in clinical routine. We use the common mDixon acquisition protocol for MR imaging. A series of thresholding, morphological, and connectivity operations is used for processing. We demonstrate our fully automated approach on four subjects and present a comparison with manual labeling. We discuss how this work is used for advanced and intuitive visualization, the quantification of tissue types, pose estimation, initialization of further segmentation methods, and how it could be used in clinical environments.","2017-03","2022-04-11 15:14:32","2022-04-24 23:07:54","","290-299","","2","14","","","Muscle Tissue Labeling of Human Lower Limb in Multi-Channel mDixon MR Imaging","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE/ACM Transactions on Computational Biology and Bioinformatics","","C:\Users\Work\Zotero\storage\NKTGU5KV\7164286.html; C:\Users\Work\Zotero\storage\F458MMT5\Becker and Magnenat-Thalmann - 2017 - Muscle Tissue Labeling of Human Lower Limb in Mult.pdf","","excluded; not an application; reverse snowball","Biomedical imaging; Image segmentation; Joints; Labeling; Medical imaging; morphological operations; Morphological operations; muscle segmentation; Muscles; tissue labeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99HQW7ZP","journalArticle","2017","Borodin, Allan; Jain, Aadhar; Lee, Hyun Chul; Ye, Yuli","Max-Sum Diversification, Monotone Submodular Functions, and Dynamic Updates","ACM Transactions on Algorithms","","1549-6325, 1549-6333","10.1145/3086464","https://dl.acm.org/doi/10.1145/3086464","Result diversification is an important aspect in web-based search, document summarization, facility location, portfolio management, and other applications. Given a set of ranked results for a set of objects (e.g., web documents, facilities, etc.) with a distance between any pair, the goal is to select a subset               S               satisfying the following three criteria: (a) the subset               S               satisfies some constraint (e.g., bounded cardinality), (b) the subset contains results of high “quality,” and (c) the subset contains results that are “diverse” relative to the distance measure. The goal of result diversification is to produce a diversified subset while maintaining high quality as much as possible. We study a broad class of problems where the distances are a metric, where the constraint is given by independence in a matroid, where quality is determined by a monotone submodular function and diversity is defined as the sum of distances between objects in               S               . Our problem is a generalization of the               max-sum diversification               problem studied in Gollapudi and Sharma [2009], which in turn is a generalization of the               max-sum p-dispersion problem               studied extensively in location theory. It is NP-hard even with the triangle inequality. We propose two simple and natural algorithms: a greedy algorithm for a cardinality constraint and a local search algorithm for an arbitrary matroid constraint. We prove that both algorithms achieve constant approximation ratios.","2017-08-09","2022-04-11 15:14:32","2022-04-24 23:06:31","2022-04-24 23:05:39","1-25","","3","13","","ACM Trans. Algorithms","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Work\Zotero\storage\GVW9A3HZ\Borodin et al. - 2017 - Max-Sum Diversification, Monotone Submodular Funct.pdf","","greedy algorithms, Diversification, submodular functions, local search, dispersion; excluded; not an application; reverse snowball; dispersion, local search, Diversification, greedy algorithms, submodular functions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFWVLEUE","conferencePaper","2017","Buchbinder, Niv; Haitner, Iftach; Levi, Nissan; Tsfadia, Eliad","Fair coin flipping: tighter analysis and the many-party case","Proceedings of the Twenty-Eighth Annual ACM-SIAM Symposium on Discrete Algorithms","","","","","","2017","2022-04-11 15:14:32","2022-04-24 23:05:09","","2580–2600","","","","","","","","","","","Society for Industrial and Applied Mathematics","Barcelona, Spain","","","","","","","","","","C:\Users\Work\Zotero\storage\G42LXXRL\Buchbinder et al. - 2017 - Fair coin flipping tighter analysis and the many-.pdf","","stopping time problems, coin-flipping, fair computation; excluded; not an application; reverse snowball; fair computation, coin-flipping, stopping time problems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UECEM8KT","journalArticle","2017","Denning, Peter J.","Computational design","Ubiquity","","","","https://doi.org/10.1145/3132087","","2017","2022-04-11 15:14:32","2022-04-24 23:04:32","","Article 2","","August","2017","","","","","","","","","","","","","","","","","Publisher: Association for Computing Machinery Type: 10.1145/3132087","","C:\Users\Work\Zotero\storage\5Q369GWK\3132087.pdf","","excluded; not an application; reverse snowball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
